schema_name;tabela_pk;coluna_pk;tabela_fk;coluna_fk;status_fk
CARTORIO;DOCUMENT;DOCUMENT_ID;SIGNATURE;DOCUMENT_ID;Ativo
CARTORIO;STATUS;STATUS_ID;DOCUMENT;STATUS_ID;Ativo
DBACP;ACAO;CD_ACAO;USUARIO_PORTAL_ACAO;CD_ACAO;Ativo
DBACP;ACESSO_PORTLET_UNIVERSAL;CD_ACESSO;COMENTARIO_PORTLET_UNIVERSAL;CD_ACESSO;Ativo
DBACP;ACESSO_PORTLET_UNIVERSAL;CD_ACESSO;LOG_ACESSO_PORTLET_UNIVERSAL;CD_ACESSO;Ativo
DBACP;CABECALHO;CD_CABECALHO;CABECALHO_LINKS;CD_CABECALHO;Ativo
DBACP;CABECALHO;CD_CABECALHO;PAGINA;CD_CABECALHO;Ativo
DBACP;COLUNA;CD_COLUNA;PORTLET_CONFIGURACAO;CD_COLUNA;Ativo
DBACP;COLUNA_SQL;CD_POSICAO;FORMATACAO_CONDICIONAL;CD_PORTLET;Ativo
DBACP;COLUNA_SQL;CD_POSICAO;FORMATACAO_CONDICIONAL;CD_PORTLET;Ativo
DBACP;COLUNA_SQL;CD_PORTLET;FORMATACAO_CONDICIONAL;CD_PORTLET;Ativo
DBACP;COLUNA_SQL;CD_PORTLET;FORMATACAO_CONDICIONAL;CD_PORTLET;Ativo
DBACP;COLUNA_SQL;CD_POSICAO;FORMATACAO_CONDICIONAL;CD_POSICAO;Ativo
DBACP;COLUNA_SQL;CD_POSICAO;FORMATACAO_CONDICIONAL;CD_POSICAO;Ativo
DBACP;COLUNA_SQL;CD_PORTLET;FORMATACAO_CONDICIONAL;CD_POSICAO;Ativo
DBACP;COLUNA_SQL;CD_PORTLET;FORMATACAO_CONDICIONAL;CD_POSICAO;Ativo
DBACP;CONFIGURACAO_GRAFICO;CD_CONFIGURACAO_GRAFICO;CONFIG_GRAFICO_INDICADORES;CD_CONFIG_GRAFICO;Ativo
DBACP;CONFIGURACAO_GRAFICO;CD_CONFIGURACAO_GRAFICO;CONFIG_GRAFICO_LINHAS_REF;CD_CONFIG_GRAFICO;Ativo
